Date : 2026-02-21 01:52:58
Directory : c:\Users\Ahmed\projects\CodeQuiz
Total : 501 files,  48599 codes, 2746 comments, 7311 blanks, all 58656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Ahmed\projects\CodeQuiz\.dockerignore                                                                                             | Ignore             |         30 |          0 |          0 |         30 |
| c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\deploy_backend.yml                                                                      | YAML               |         63 |          8 |         16 |         87 |
| c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\deploy_website.yml                                                                      | YAML               |         53 |          0 |         12 |         65 |
| c:\Users\Ahmed\projects\CodeQuiz\.github\workflows\test.yml                                                                                | YAML               |         82 |          0 |         22 |        104 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Authentication\Controllers\AuthenticationControllerTests.cs                         | C#                 |         80 |          9 |         15 |        104 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\CodeQuizBackend.Tests.csproj                                                        | XML                |         23 |          0 |          5 |         28 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Execution\Services\CodeRunnerFactoryTests.cs                                        | C#                 |         59 |         10 |         17 |         86 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Execution\Services\EvaluatorTests.cs                                                | C#                 |         61 |          9 |         18 |         88 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\AttemptsServiceTests.cs                                                    | C#                 |        145 |          6 |         17 |        168 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\JWTAuthenticationServiceTests.cs                                           | C#                 |        123 |         15 |         27 |        165 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\Services\QuizzesServiceTests.cs                                                     | C#                 |        157 |          9 |         21 |        187 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend.Tests\UnitTest1.cs                                                                        | C#                 |          8 |          0 |          3 |         11 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Controllers\AuthenticationController.cs                                    | C#                 |         81 |          0 |          7 |         88 |
