"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\EvaluationResult.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\RunCodeRequest.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\SandboxConfiguration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\SupportedLanguage.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\TestCase.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CSharpCodeRunner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 13, 84
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CodeRunnerDecorator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CodeRunnerFactory.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\DockerSandbox.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 17, 17, 134
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\Evaluator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\ICodeRunner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\ICodeRunnerFactory.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\IDockerSandbox.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\IEvaluator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\PythonCodeRunner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\SandboxedCodeRunner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 3, 7, 71
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251106132845_InitialCreate.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 2, 82, 319
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251106132845_InitialCreate.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 3, 26, 292
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251116144141_Quizzes_Questions_Solutions_Attempts.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 478, 0, 0, 0, 2, 183, 663
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251116144141_Quizzes_Questions_Solutions_Attempts.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 3, 20, 245
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251117221816_QuizMultipleAttempts.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 480, 0, 0, 0, 2, 184, 666
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251117221816_QuizMultipleAttempts.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 4, 30
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251121112040_QuizQuestionPoints.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 484, 0, 0, 0, 2, 186, 672
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251121112040_QuizQuestionPoints.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 6, 41
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251209112410_AttemptEvaluation.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 2, 187, 675
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251209112410_AttemptEvaluation.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 8, 50
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251219002700_RTotalPointsQuiz_AddIntellisenseSignatureHelpConfig.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 492, 0, 0, 0, 2, 190, 684
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20251219002700_RTotalPointsQuiz_AddIntellisenseSignatureHelpConfig.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 12, 72
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122110208_AiIntegration.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 535, 0, 0, 0, 2, 206, 743
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122110208_AiIntegration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 7, 70
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122124006_AddSuggestedGradeToAiAssessment.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 537, 0, 0, 0, 2, 207, 746
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122124006_AddSuggestedGradeToAiAssessment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 4, 29
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122171805_QuizEndSummaryEmailSent.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 2, 208, 749
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122171805_QuizEndSummaryEmailSent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 4, 30
